Sexo,Talla
FEMENINO,51.0
FEMENINO,49.0
MASCULINO,57.0
MASCULINO,56.0
FEMENINO,51.0
FEMENINO,45.0
MASCULINO,53.0
FEMENINO,53.0
MASCULINO,50.0
FEMENINO,52.0
MASCULINO,50.0
MASCULINO,52.0
MASCULINO,50.0
MASCULINO,54.0
FEMENINO,44.0
FEMENINO,51.0
MASCULINO,48.0
MASCULINO,52.0
FEMENINO,51.0
MASCULINO,49.0
MASCULINO,57.0
MASCULINO,50.0
FEMENINO,51.0
FEMENINO,52.0
FEMENINO,49.0
MASCULINO,51.0
FEMENINO,50.0
MASCULINO,52.0
FEMENINO,51.0
MASCULINO,54.0
FEMENINO,49.0
FEMENINO,51.0
MASCULINO,49.0
MASCULINO,58.0
MASCULINO,49.0
MASCULINO,55.0
FEMENINO,53.0
FEMENINO,53.0
FEMENINO,50.0
FEMENINO,48.0
FEMENINO,52.0
MASCULINO,48.0
FEMENINO,46.0
FEMENINO,47.0
MASCULINO,43.0
FEMENINO,52.0
MASCULINO,45.0
FEMENINO,52.0
FEMENINO,50.0
MASCULINO,50.0
MASCULINO,52.0
FEMENINO,55.0
MASCULINO,55.0
FEMENINO,55.0
MASCULINO,55.0
MASCULINO,57.0
MASCULINO,51.0
MASCULINO,51.0
MASCULINO,54.0
MASCULINO,50.0
FEMENINO,48.0
MASCULINO,47.0
MASCULINO,51.0
MASCULINO,49.0
FEMENINO,51.0
FEMENINO,50.0
FEMENINO,52.0
MASCULINO,56.0
FEMENINO,56.0
FEMENINO,52.0
FEMENINO,51.0
MASCULINO,52.0
MASCULINO,51.0
FEMENINO,51.0
MASCULINO,55.0
FEMENINO,50.0
FEMENINO,49.0
FEMENINO,49.0
MASCULINO,56.0
FEMENINO,53.0
FEMENINO,53.0
FEMENINO,52.0
MASCULINO,54.0
FEMENINO,56.0
FEMENINO,52.0
FEMENINO,52.0
MASCULINO,51.0
MASCULINO,53.0
FEMENINO,56.0
FEMENINO,54.0
FEMENINO,54.0
MASCULINO,53.0
MASCULINO,55.0
MASCULINO,52.0
MASCULINO,55.0
FEMENINO,58.0
MASCULINO,51.0
MASCULINO,53.0
FEMENINO,55.0
FEMENINO,50.0
MASCULINO,48.0
FEMENINO,55.0
MASCULINO,53.0
FEMENINO,50.0
FEMENINO,49.0
MASCULINO,54.0
FEMENINO,55.0
FEMENINO,53.0
FEMENINO,49.0
MASCULINO,50.0
FEMENINO,53.0
FEMENINO,53.0
MASCULINO,53.0
FEMENINO,49.0
MASCULINO,52.0
MASCULINO,49.0
MASCULINO,49.0
FEMENINO,52.0
FEMENINO,49.0
MASCULINO,50.0
MASCULINO,53.0
FEMENINO,48.0
MASCULINO,51.0
MASCULINO,48.0
MASCULINO,49.0
MASCULINO,49.0
FEMENINO,53.0
MASCULINO,50.0
MASCULINO,57.0
FEMENINO,49.0
MASCULINO,50.0
MASCULINO,52.0
MASCULINO,52.0
FEMENINO,52.0
MASCULINO,51.0
FEMENINO,46.0
FEMENINO,47.0
MASCULINO,53.0
FEMENINO,53.0
FEMENINO,50.0
MASCULINO,53.0
FEMENINO,57.0
MASCULINO,55.0
FEMENINO,52.0
FEMENINO,50.0
MASCULINO,51.0
FEMENINO,45.0
FEMENINO,51.0
FEMENINO,51.0
FEMENINO,54.0
FEMENINO,51.0
MASCULINO,50.0
FEMENINO,49.0
FEMENINO,51.0
FEMENINO,53.0
FEMENINO,51.0
MASCULINO,49.0
FEMENINO,56.0
MASCULINO,52.0
MASCULINO,54.0
FEMENINO,49.0
FEMENINO,54.0
MASCULINO,48.0
FEMENINO,51.0
MASCULINO,53.0
MASCULINO,50.0
MASCULINO,50.0
MASCULINO,50.0
FEMENINO,56.0
MASCULINO,54.0
MASCULINO,52.0
MASCULINO,48.0
MASCULINO,51.0
FEMENINO,52.0
MASCULINO,50.0
MASCULINO,45.0
MASCULINO,50.0
MASCULINO,51.0
MASCULINO,57.0
FEMENINO,52.0
MASCULINO,51.0
FEMENINO,52.0
MASCULINO,53.0
MASCULINO,53.0
FEMENINO,53.0
MASCULINO,50.0
MASCULINO,53.0
FEMENINO,49.0
MASCULINO,49.0
MASCULINO,50.0
MASCULINO,51.0
MASCULINO,57.0
MASCULINO,50.0
FEMENINO,50.0
MASCULINO,51.0
FEMENINO,50.0
MASCULINO,52.0
FEMENINO,52.0
MASCULINO,51.0
FEMENINO,50.0
MASCULINO,54.0
MASCULINO,56.0
MASCULINO,50.0
MASCULINO,54.0
FEMENINO,55.0
FEMENINO,51.0
FEMENINO,49.0
MASCULINO,51.0
MASCULINO,52.0
FEMENINO,48.0
MASCULINO,55.0
FEMENINO,54.0
FEMENINO,51.0
MASCULINO,54.0
MASCULINO,49.0
FEMENINO,52.0
MASCULINO,54.0
FEMENINO,50.0
MASCULINO,49.0
MASCULINO,55.0
FEMENINO,52.0
MASCULINO,57.0
FEMENINO,55.0
MASCULINO,50.0
FEMENINO,49.0
MASCULINO,50.0
MASCULINO,54.0
FEMENINO,48.0
MASCULINO,51.0
FEMENINO,51.0
MASCULINO,48.0
FEMENINO,53.0
FEMENINO,50.0
MASCULINO,52.0
FEMENINO,51.0
FEMENINO,51.0
FEMENINO,53.0
FEMENINO,50.0
FEMENINO,49.0
MASCULINO,51.0
FEMENINO,56.0
MASCULINO,50.0
MASCULINO,57.0
FEMENINO,50.0
MASCULINO,53.0
FEMENINO,52.0
FEMENINO,53.0
MASCULINO,50.0
MASCULINO,51.0
MASCULINO,53.0
FEMENINO,57.0
MASCULINO,51.0
FEMENINO,49.0
FEMENINO,52.0
FEMENINO,51.0
MASCULINO,48.0
MASCULINO,53.0
FEMENINO,51.0
MASCULINO,52.0
FEMENINO,55.0
FEMENINO,50.0
MASCULINO,55.0
FEMENINO,48.0
FEMENINO,51.0
MASCULINO,55.0
MASCULINO,54.0
MASCULINO,52.0
FEMENINO,53.0
FEMENINO,53.0
FEMENINO,55.0
MASCULINO,54.0
FEMENINO,51.0
FEMENINO,53.0
FEMENINO,50.0
MASCULINO,49.0
MASCULINO,53.0
MASCULINO,53.0
MASCULINO,54.0
FEMENINO,55.0
MASCULINO,53.0
FEMENINO,53.0
MASCULINO,50.0
FEMENINO,51.0
FEMENINO,49.0
MASCULINO,49.0
FEMENINO,52.0
MASCULINO,49.0
MASCULINO,49.0
FEMENINO,46.0
MASCULINO,53.0
MASCULINO,47.0
MASCULINO,55.0
MASCULINO,45.0
MASCULINO,52.0
FEMENINO,55.0
FEMENINO,49.0
MASCULINO,48.0
FEMENINO,53.0
MASCULINO,50.0
MASCULINO,52.0
FEMENINO,53.0
FEMENINO,51.0
MASCULINO,54.0
FEMENINO,52.0
MASCULINO,56.0
MASCULINO,47.0
MASCULINO,51.0
FEMENINO,50.0
FEMENINO,51.0
FEMENINO,49.0
FEMENINO,48.0
FEMENINO,53.0
MASCULINO,49.0
FEMENINO,49.0
FEMENINO,52.0
FEMENINO,50.0
MASCULINO,49.0
FEMENINO,54.0
MASCULINO,47.0
FEMENINO,53.0
FEMENINO,52.0
MASCULINO,53.0
MASCULINO,54.0
MASCULINO,53.0
FEMENINO,53.0
MASCULINO,49.0
MASCULINO,56.0
MASCULINO,57.0
MASCULINO,46.0
MASCULINO,48.0
MASCULINO,52.0
MASCULINO,54.0
FEMENINO,55.0
MASCULINO,52.0
FEMENINO,51.0
FEMENINO,48.0
FEMENINO,47.0
FEMENINO,51.0
MASCULINO,51.0
MASCULINO,54.0
FEMENINO,54.0
MASCULINO,50.0
FEMENINO,50.0
FEMENINO,53.0
FEMENINO,53.0
MASCULINO,55.0
MASCULINO,50.0
FEMENINO,53.0
FEMENINO,51.0
MASCULINO,56.0
FEMENINO,50.0
MASCULINO,52.0
FEMENINO,54.0
FEMENINO,53.0
FEMENINO,53.0
MASCULINO,53.0
FEMENINO,53.0
MASCULINO,48.0
FEMENINO,49.0
MASCULINO,51.0
FEMENINO,56.0
FEMENINO,50.0
MASCULINO,52.0
MASCULINO,52.0
MASCULINO,53.0
FEMENINO,53.0
MASCULINO,50.0
MASCULINO,54.0
MASCULINO,49.0
FEMENINO,51.0
MASCULINO,52.0
FEMENINO,55.0
MASCULINO,52.0
FEMENINO,50.0
FEMENINO,50.0
MASCULINO,57.0
MASCULINO,52.0
MASCULINO,52.0
FEMENINO,53.0
MASCULINO,52.0
MASCULINO,55.0
FEMENINO,54.0
FEMENINO,51.0
MASCULINO,52.0
MASCULINO,57.0
FEMENINO,53.0
MASCULINO,56.0
MASCULINO,57.0
MASCULINO,50.0
MASCULINO,55.0
MASCULINO,51.0
MASCULINO,53.0
FEMENINO,51.0
MASCULINO,52.0
FEMENINO,53.0
FEMENINO,53.0
MASCULINO,53.0
FEMENINO,56.0
MASCULINO,51.0
FEMENINO,51.0
FEMENINO,49.0
FEMENINO,54.0
MASCULINO,41.0
MASCULINO,56.0
FEMENINO,51.0
MASCULINO,48.0
FEMENINO,57.0
MASCULINO,48.0
MASCULINO,53.0
MASCULINO,50.0
FEMENINO,53.0
MASCULINO,52.0
FEMENINO,53.0
MASCULINO,54.0
FEMENINO,53.0
MASCULINO,49.0
FEMENINO,54.0
FEMENINO,52.0
MASCULINO,52.0
MASCULINO,52.0
FEMENINO,57.0
MASCULINO,52.0
MASCULINO,56.0
MASCULINO,58.0
MASCULINO,53.0
MASCULINO,53.0
FEMENINO,48.0
FEMENINO,49.0
FEMENINO,51.0
FEMENINO,53.0
MASCULINO,53.0
MASCULINO,51.0
MASCULINO,53.0
FEMENINO,52.0
MASCULINO,55.0
FEMENINO,51.0
MASCULINO,50.0
FEMENINO,50.0
FEMENINO,50.0
MASCULINO,49.0
MASCULINO,51.0
FEMENINO,54.0
FEMENINO,54.0
MASCULINO,51.0
MASCULINO,51.0
FEMENINO,54.0
MASCULINO,53.0
FEMENINO,52.0
MASCULINO,53.0
FEMENINO,49.0
FEMENINO,54.0
FEMENINO,58.0
FEMENINO,49.0
MASCULINO,53.0
FEMENINO,48.0
FEMENINO,54.0
FEMENINO,51.0
MASCULINO,55.0
FEMENINO,53.0
FEMENINO,52.0
FEMENINO,51.0
MASCULINO,47.0
MASCULINO,52.0
MASCULINO,54.0
FEMENINO,54.0
MASCULINO,53.0
MASCULINO,54.0
FEMENINO,51.0
MASCULINO,54.0
FEMENINO,54.0
FEMENINO,50.0
FEMENINO,49.0
FEMENINO,55.0
MASCULINO,57.0
MASCULINO,56.0
FEMENINO,52.0
MASCULINO,47.0
MASCULINO,52.0
MASCULINO,53.0
FEMENINO,51.0
MASCULINO,58.0
MASCULINO,55.0
MASCULINO,53.0
FEMENINO,50.0
MASCULINO,54.0
FEMENINO,54.0
MASCULINO,51.0
FEMENINO,50.0
MASCULINO,52.0
FEMENINO,56.0
MASCULINO,52.0
MASCULINO,54.0
MASCULINO,46.0
FEMENINO,47.0
FEMENINO,50.0
MASCULINO,52.0
FEMENINO,50.0
FEMENINO,51.0
FEMENINO,52.0
MASCULINO,51.0
FEMENINO,53.0
MASCULINO,50.0
FEMENINO,49.0
MASCULINO,48.0
FEMENINO,52.0
MASCULINO,48.0
MASCULINO,58.0
FEMENINO,49.0
FEMENINO,52.0
FEMENINO,49.0
FEMENINO,54.0
FEMENINO,49.0
MASCULINO,53.0
MASCULINO,54.0
MASCULINO,48.0
FEMENINO,53.0
MASCULINO,53.0
MASCULINO,50.0
MASCULINO,50.0
FEMENINO,48.0
FEMENINO,49.0
MASCULINO,48.0
MASCULINO,50.0
MASCULINO,54.0
FEMENINO,51.0
FEMENINO,48.0
FEMENINO,51.0
MASCULINO,58.0
MASCULINO,51.0
FEMENINO,48.0
MASCULINO,52.0
FEMENINO,52.0
MASCULINO,51.0
FEMENINO,52.0
MASCULINO,52.0
FEMENINO,51.0
MASCULINO,53.0
FEMENINO,54.0
FEMENINO,47.0
MASCULINO,53.0
MASCULINO,54.0
FEMENINO,49.0
FEMENINO,48.0
FEMENINO,52.0
FEMENINO,49.0
FEMENINO,52.0
MASCULINO,54.0
FEMENINO,54.0
MASCULINO,58.0
FEMENINO,54.0
MASCULINO,54.0
MASCULINO,51.0
FEMENINO,47.0
FEMENINO,51.0
FEMENINO,56.0
MASCULINO,51.0
MASCULINO,58.0
MASCULINO,52.0
MASCULINO,56.0
FEMENINO,51.0
MASCULINO,53.0
MASCULINO,51.0
FEMENINO,49.0
MASCULINO,54.0
MASCULINO,55.0
FEMENINO,49.0
MASCULINO,52.0
MASCULINO,49.0
MASCULINO,54.0
MASCULINO,54.0
FEMENINO,48.0
MASCULINO,54.0
MASCULINO,51.0
MASCULINO,53.0
FEMENINO,50.0
MASCULINO,56.0
MASCULINO,55.0
FEMENINO,58.0
MASCULINO,50.0
FEMENINO,55.0
MASCULINO,52.0
MASCULINO,50.0
MASCULINO,53.0
FEMENINO,50.0
MASCULINO,50.0
MASCULINO,53.0
MASCULINO,55.0
MASCULINO,50.0
MASCULINO,52.0
MASCULINO,46.0
MASCULINO,49.0
FEMENINO,55.0
MASCULINO,44.0
FEMENINO,56.0
FEMENINO,53.0
FEMENINO,49.0
MASCULINO,52.0
MASCULINO,53.0
MASCULINO,45.0
MASCULINO,59.0
FEMENINO,53.0
FEMENINO,53.0
MASCULINO,56.0
FEMENINO,44.0
MASCULINO,52.0
FEMENINO,48.0
MASCULINO,51.0
MASCULINO,53.0
MASCULINO,51.0
FEMENINO,52.0
MASCULINO,50.0
FEMENINO,45.0
FEMENINO,47.0
MASCULINO,53.0
FEMENINO,49.0
MASCULINO,52.0
MASCULINO,50.0
MASCULINO,53.0
MASCULINO,53.0
MASCULINO,55.0
MASCULINO,52.0
MASCULINO,50.0
MASCULINO,50.0
MASCULINO,47.0
FEMENINO,51.0
FEMENINO,54.0
MASCULINO,51.0
MASCULINO,51.0
MASCULINO,51.0
MASCULINO,51.0
MASCULINO,53.0
MASCULINO,51.0
FEMENINO,49.0
MASCULINO,54.0
FEMENINO,48.0
MASCULINO,50.0
MASCULINO,49.0
MASCULINO,55.0
MASCULINO,51.0
MASCULINO,49.0
FEMENINO,45.0
FEMENINO,46.0
FEMENINO,50.0
MASCULINO,49.0
FEMENINO,50.0
MASCULINO,52.0
FEMENINO,50.0
MASCULINO,50.0
FEMENINO,49.0
MASCULINO,50.0
MASCULINO,53.0
FEMENINO,54.0
FEMENINO,48.0
FEMENINO,50.0
MASCULINO,52.0
FEMENINO,51.0
FEMENINO,50.0
MASCULINO,50.0
MASCULINO,49.0
MASCULINO,52.0
FEMENINO,51.0
FEMENINO,53.0
FEMENINO,47.0
MASCULINO,52.0
FEMENINO,50.0
FEMENINO,49.0
MASCULINO,51.0
FEMENINO,50.0
FEMENINO,49.0
MASCULINO,46.0
FEMENINO,55.0
MASCULINO,50.0
FEMENINO,48.0
MASCULINO,53.0
FEMENINO,48.0
FEMENINO,48.0
FEMENINO,49.0
FEMENINO,49.0
FEMENINO,46.0
FEMENINO,54.0
MASCULINO,49.0
FEMENINO,52.0
FEMENINO,50.0
FEMENINO,50.0
MASCULINO,54.0
FEMENINO,48.0
MASCULINO,50.0
FEMENINO,49.0
MASCULINO,53.0
MASCULINO,51.0
MASCULINO,50.0
FEMENINO,50.0
FEMENINO,50.0
MASCULINO,50.0
FEMENINO,53.0
MASCULINO,48.0
FEMENINO,50.0
MASCULINO,49.0
MASCULINO,52.0
MASCULINO,49.0
MASCULINO,52.0
MASCULINO,54.0
FEMENINO,54.0
FEMENINO,49.0
FEMENINO,48.0
MASCULINO,51.0
FEMENINO,52.0
MASCULINO,36.0
MASCULINO,50.0
FEMENINO,52.0
FEMENINO,50.0
MASCULINO,52.0
MASCULINO,48.0
MASCULINO,49.0
MASCULINO,52.0
FEMENINO,47.0
MASCULINO,53.0
MASCULINO,50.0
FEMENINO,50.0
FEMENINO,53.0
MASCULINO,52.0
MASCULINO,53.0
MASCULINO,48.0
MASCULINO,53.0
FEMENINO,52.0
FEMENINO,50.0
FEMENINO,46.0
FEMENINO,49.0
MASCULINO,54.0
FEMENINO,50.0
FEMENINO,48.0
FEMENINO,51.0
MASCULINO,50.0
FEMENINO,53.0
MASCULINO,53.0
MASCULINO,53.0
MASCULINO,50.0
FEMENINO,50.0
MASCULINO,52.0
MASCULINO,52.0
FEMENINO,50.0
FEMENINO,47.0
FEMENINO,50.0
MASCULINO,48.0
FEMENINO,48.0
FEMENINO,51.0
MASCULINO,47.0
MASCULINO,51.0
FEMENINO,48.0
MASCULINO,47.0
FEMENINO,49.0
MASCULINO,51.0
MASCULINO,51.0
FEMENINO,49.0
FEMENINO,51.0
FEMENINO,49.0
MASCULINO,49.0
MASCULINO,52.0
FEMENINO,52.0
MASCULINO,52.0
FEMENINO,51.0
FEMENINO,49.0
FEMENINO,48.0
MASCULINO,52.0
MASCULINO,52.0
MASCULINO,54.0
FEMENINO,51.0
MASCULINO,49.0
FEMENINO,46.0
FEMENINO,50.0
FEMENINO,50.0
FEMENINO,49.0
FEMENINO,51.0
MASCULINO,50.0
MASCULINO,53.0
MASCULINO,53.0
FEMENINO,50.0
MASCULINO,48.0
MASCULINO,50.0
MASCULINO,50.0
FEMENINO,51.0
FEMENINO,43.0
MASCULINO,50.0
MASCULINO,52.0
FEMENINO,49.0
MASCULINO,50.0
FEMENINO,48.0
MASCULINO,49.0
MASCULINO,50.0
MASCULINO,47.0
FEMENINO,52.0
FEMENINO,52.0
MASCULINO,54.0
FEMENINO,54.0
MASCULINO,53.0
MASCULINO,55.0
MASCULINO,52.0
FEMENINO,49.0
MASCULINO,50.0
FEMENINO,48.0
MASCULINO,50.0
MASCULINO,48.0
FEMENINO,49.0
MASCULINO,50.0
FEMENINO,53.0
MASCULINO,52.0
MASCULINO,52.0
FEMENINO,49.0
MASCULINO,51.0
MASCULINO,55.0
MASCULINO,48.0
FEMENINO,50.0
FEMENINO,53.0
FEMENINO,47.0
MASCULINO,51.0
FEMENINO,51.0
FEMENINO,54.0
MASCULINO,49.0
FEMENINO,51.0
FEMENINO,48.0
FEMENINO,48.0
MASCULINO,48.0
MASCULINO,53.0
FEMENINO,50.0
FEMENINO,50.0
MASCULINO,50.0
MASCULINO,51.0
FEMENINO,50.0
MASCULINO,50.0
MASCULINO,48.0
FEMENINO,50.0
MASCULINO,52.0
MASCULINO,49.0
MASCULINO,51.0
MASCULINO,48.0
FEMENINO,49.0
FEMENINO,50.0
MASCULINO,47.0
FEMENINO,50.0
MASCULINO,52.0
MASCULINO,50.0
MASCULINO,52.0
MASCULINO,49.0
FEMENINO,51.0
FEMENINO,50.0
MASCULINO,51.0
FEMENINO,51.0
MASCULINO,49.0
MASCULINO,50.0
MASCULINO,50.0
MASCULINO,54.0
FEMENINO,48.0
MASCULINO,52.0
FEMENINO,47.0
FEMENINO,50.0
FEMENINO,50.0
FEMENINO,47.0
MASCULINO,49.0
FEMENINO,50.0
MASCULINO,50.0
MASCULINO,53.0
MASCULINO,48.0
FEMENINO,49.0
FEMENINO,47.0
FEMENINO,51.0
MASCULINO,50.0
MASCULINO,50.0
FEMENINO,49.0
FEMENINO,49.0
MASCULINO,52.0
FEMENINO,42.0
FEMENINO,50.0
MASCULINO,51.0
FEMENINO,51.0
FEMENINO,52.0
FEMENINO,49.0
MASCULINO,53.0
MASCULINO,48.0
FEMENINO,51.0
FEMENINO,51.0
MASCULINO,48.0
MASCULINO,51.0
FEMENINO,52.0
FEMENINO,50.0
MASCULINO,52.0
MASCULINO,53.0
MASCULINO,51.0
FEMENINO,49.0
MASCULINO,52.0
FEMENINO,55.0
MASCULINO,52.0
MASCULINO,52.0
MASCULINO,48.0
FEMENINO,49.0
MASCULINO,48.0
MASCULINO,50.0
FEMENINO,51.0
MASCULINO,45.0
